subject,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,no1,author1,school1,year1,citation1,degree1
基础科学,16.2,22.1,26.4,30.7,32.4,35.3,38,41,42.6,42.5,多指标综合评价理论与方法问题研究,苏为华,厦门大学,2000,1357,博士
工程科技,24.4,32.1,37,42.5,44.1,46.4,48.9,51.1,52.7,51.3,太阳能光伏并网发电系统的研究,赵为,合肥工业大学,2003,851,博士
农业科技,24,33,36.5,42.1,43.3,47.9,54.9,59.6,63,67.1,秸秆资源评价与利用研究,毕于运,中国农业科学院,2010,384,博士
医药卫生科技,4.3,6.8,9,12,13.9,18.3,23.4,27.8,30.9,31.1,四川省护理本科生专业认同调查分析,胡忠华,四川大学,2007,189,硕士
哲学与人文科学,14.5,20.7,25,28.1,29.3,30.4,32.7,36.4,39.2,38.2,学习自我效能感量表的编制与应用,边玉芳,华东师范大学,2003,515,博士
社会科学,21.2,28,33.2,36.1,37.8,40.1,43.2,47.3,49.9,49,有效教学研究,姚利民,华东师范大学,2004,820,博士
信息科技,19.9,25.1,29.1,33.1,34.8,37.9,39.6,42.4,43.7,42.2,一种新型的智能优化方法-人工鱼群算法,李晓磊,浙江大学,2003,756,博士
经济与管理科学,20.8,27.8,31.9,35.9,38,40.1,42,44.1,44.2,41.2,层次分析法的若干问题研究及应用,朱建军,东北大学,2005,745,博士
